,listing,price,brand,size
0,IVTG Genuine Leather Backpack,110.0,IVTG,OS
1,Kate Spade Staci Coral Pink Saffiano Leather Wristlet NWOT,60.0,kate spade,OS
2,"Tory Burch Robinson Chain Wallet, Grey - Preowned",99.0,Tory Burch,OS
3,TOUS Velvet Jewelry Pounch Travel Organizer Black Ivory With Dust Bag,40.0,Tous,OS
4,"NWTJuicy Couture Pink Shoulder Bag
          
      NWT",28.0,Juicy Couture,OS
5,Aldo Satchel Bag Womens Small Pink Tweed Houndstooth Lion Head Chain Purse,22.0,Aldo,OS
6,Trans by JanSport Cloud Print Backpack,20.0,Jansport,OS
7,Cole Haan Black Leather Crossbody Bag,50.0,Cole Haan,OS
8,I.N.C International Concepts Soft Ajae Quilted Shoulder Bag Prune Maroon,50.0,INC International Concepts,OS
9,Gucci leather wallet,150.0,Gucci,OS
10,Tignanello Shoulder Bag Purse Brown Two Tone Leather Adjustable *SMALL FLAW,29.0,Tignanello,OS
11,Chanel Interlocking CC Logo Black Quilted Caviar Leather Grand Shopper Tote Bag,5850.0,CHANEL,OS
12,Dior Red Limited Edition Cosmetics Pouch Makeup Bag BNIB Authentic GWP & Gb,36.0,Dior,OS
13,"Cute Pink Furry Plush Wallet with PomPom New
          
      NWT",16.0,No Brand Listed,No Size Listed
14,Gucci Guccissima Emily chain wallet,299.0,Gucci,OS
15,"Calvin Klein Sleek Black Shoulder Bucket Bag, NWOT",47.0,Calvin Klein,OS
16,"Lululemon Mini Shoulder Bag
          
      NWT",78.0,lululemon athletica,OS
17,U.S. Polo Assn. Blue and Tan Women's Backpack,17.0,U,OS
18,Brighton Elegant Black Embossed Leather Bag by Brighton with Tassel and Charm,65.0,Brighton,Approx 11x10
19,Star Wars BB-8 The Last Jedi Reusable Shopping Tote Bag,10.0,Star Wars,OS
20,Missoni Travel Bag Exclusive Release Limited Edition Toiletry Cosmetics Make Up,20.0,Missoni,OS
21,"2008 Ardleigh‎ Elliott Faithful Friends Schnauzer Handbag 11"" X 7"" Purse Bag Dog",34.0,No Brand Listed,No Size Listed
22,Dejuno Plaid Cosmetic‎ Bag Large w/ Shoulder Strap,18.0,Dejuno,OS
23,"MICHAEL KORS
Avril Small Logo Top-Zip Satchel
COLOR BLACK
NWT
          
      Boutique",140.0,Michael Kors,Various
24,"Lululemon Everywhere Backpack Small 11.5L Blissful Pink Gold Hardware NWT
          
      NWT",125.0,lululemon athletica,OS
25,Vera Bradley Floral Patterned Tote Bag,50.0,Vera Bradley,OS
26,"INC International Concepts Zoiey 2-1 Tote, Brown (New Camel), NWT
          
      NWT",79.0,INC International Concepts,OS
27,Ay Güey México artisan signature‎ handbag with stylized heart motif NWOT,60.0,Ay Güey México,OS
28,Coach White and Brown Shoulder Bag,150.0,Coach,OS
29,Kate Spade Aubrey convertible top-handle bag,150.0,kate spade,OS
30,Louis Vuitton Giant Cube Monogram Purple/Black/White Coin Purse Chain Case LV,695.0,Louis Vuitton,OS
31,DOONEY & BOURKE Vintage Essex Crossbody Pebbled‎ Cream,39.0,Dooney,OS
32,"ONE DAY SALE✨

SALE🌼BOTTEGA VENETA flap woven leather Shoulder Bag
          
      NWT",675.0,Bottega Veneta,OS
33,"NWT Black Panther Wakanda Forever Loungefly Crossbody Handbag •
          
      NWT",65.0,Loungefly,OS
34,Baby Blue Short/Long Straps multi-colored Tote Bag,10.0,No Brand Listed,No Size Listed
35,Patricia Nash Blue Tooled Leather Tote Shoulder Work Bag Felt Lining Western Y2K,48.0,Patricia Nash,OS
36,NEW ELIZABETH ARDEN EXCLUSIVE‎ VEGAN OSTRICH BAG,30.0,Elizabeth Arden,OS
37,"Michael Kors Rhea Logo Extra Small Red Convertible Backpack
          
      NWT",358.0,Michael Kors,OS
38,"Orientica Luxury Black and Gold Tote Bag
          
      NWT",7.0,Orientica,OS
39,Handmade Leather Bag Strap – Tooled Eagle & Stars – Brown Leather – Boho Western,50.0,Vintage,OS
40,"ANTONIO CRISTIANO-Light Olive Italian Leather Tote/Shoulder/Xbody-Studded-NEW
          
      NWT",98.0,Antonio Christiano,OS
41,Elegant Black and Silver Beaded Clutch,35.0,No Brand Listed,No Size Listed
42,Michael Kors jet set carryall tan/cream,31.0,Michael Kors,OS
43,"America and Beyond DAPHNE EMBELLISHED MULTI-COLORED HAND BEADED TOTE
          
      NWT",100.0,American,OS
44,NWOT Camel bucket bag with make-up bag,26.0,No Brand Listed,No Size Listed
45,"Vampire Teabags Cosmetics Pouch
          
      Boutique",12.0,No Brand Listed,No Size Listed
46,"Kipling Sabian Mini Bag Classic Black Crossbody Keychain Monkey Charm Zip NEW
          
      NWT",30.0,Kipling,OS
47,Abbyson vintage 2000s cherry red leather handbag/shoulder bag purse,30.0,Abbyson,OS
48,Lululemon Everywhere Belt Bag *1L Antoinette,300.0,lululemon athletica,OS
49,"VERY UNIQUE Marble Box Bag / Purse / Handbag 👜
          
      NWT",27.0,No Brand Listed,No Size Listed
50,Vince Camuto Black Pebbled Double Pocket Belt Bag Fanny Pack Purse Handbagag,40.0,Vince Camuto,OS
51,Harrods Leather Crossbody Bag in‎ Black,30.0,Harrods,OS
52,"⚠️Clearance Pink And White Patterned Design Wallet / Cardholder
          
      NWT",12.0,No Brand Listed,No Size Listed
53,Michael Kors,28.0,No Brand Listed,No Size Listed
54,👜👠 TORY BURCH Leather Convertible Crossbody‎ | Brown Pebbled Tassel Clutch,98.0,Tory Burch,OS
55,Jansport Shibori Kaleidoscope backpack,40.0,Jansport,OS
56,Kate Spade New York MARTI LARGE BUCKET BAG in RED EUC,175.0,kate spade,OS
57,Vintage Brighton Sunny Days Canvas Shoe Dust Tote,15.0,Brighton,OS
58,Patricia Nash Tan Leather Coin Purse,40.0,Patricia Nash,OS
59,"Mini BirdinBag Compact Embroidered Flap Bucket Bag
Gold Hardware",20.0,BirdinBag,OS
60,💗Kate Spade💗 - Hayes Mini Satchel,138.0,kate spade,No Size Listed
61,"Stephanie Johnson Clutch
          
      NWT",18.0,Stepahnie Johnson,OS
62,Michael Kors Black Leather Fulton Continental Wallet‎ Gold MK Logo Snap Flap,27.0,Michael Kors,OS
63,"NEW IN BAG 🩶 Versace Belt Bag Bundle
          
      NWT",65.0,Versace,OS
64,Gucci Plus Vintage Beige and Tan Crossbody Bag GUC with COA,199.0,Gucci,OS
65,Louis Vuitton Damier Azur Double Zip Pochette,999.0,Louis Vuitton,OS
66,"Brown Single Strap to Backpack Convertable with 3 Pockets
          
      NWT",20.0,totes,OS
67,NWOT MICHAEL KORS Logo Quarter Zip  Wallet Purse Orig $228,99.0,Michael Kors,See desc
68,"Badgley Mischka Quilted Gray Coin Purse Vegan Wallet
          
      NWT",17.0,Badgley Mischka,OS
69,Handmade Crochet Floral Shoulder Bag Boho Neutral Knit statement Resort Purse,200.0,Handmade,OS
70,Louis Vuitton x Takashi Murakami shopping bag,65.0,Louis Vuitton,OS
71,"Lululemon City Essentials Shoulder Bag
          
      NWT",78.0,lululemon athletica,OS
72,Alviero Martini World Map Long wallet,195.0,Alviero Martini,OS
73,Coach F1482 Leopard Print Tote Canvas Bag,110.0,Coach,No Size Listed
74,Designer Tote Bag with Red Accents Wallet NOT included,599.0,Gucci,OS
75,Furla Piper Dome Satchel Red Leather Top Handle Crossbody Made in Italy,289.0,Furla,OS
76,Michael Kors Hayes Pale Gold Large Leather Satchel,79.0,Michael Kors,OS
77,Coach Beige Signature Wristlet | Very Good Condition,24.0,Coach,No Size Listed
78,Travelon Embroidered Zippered Ladies RFID Wallet,11.0,Travelon,OS
79,Gucci Jackie Bamboo,625.0,Gucci,OS
80,Hunter Nylon Boot Dust Bag,20.0,Hunter,OS
81,VARU Stella Pleat Purse Crossbody Bag Adjustable Strap in Charcoal Strands,30.0,VARU,OS
82,"QUILTED CROSSBODY THICK METAL RING HANDLE AND STRAP NWT FREE W PURCHASE OVER 20
          
      NWT",28.0,No Brand Listed,No Size Listed
83,Vera Bradley Florence Nightingale Crossbody Purse,30.0,Vera Bradley,OS
84,GUCCI GG canvas bifold long wallet Purse Authentic Made in Italy 181593 9416,79.0,Gucci,OS
85,💎✨Authentic✨💎CHANEL Tote Bag Black,1250.0,CHANEL,OS
86,Nautica Burnt Orange Crossbody Hobo Bag Hidden Treasure Navy Strap NWT,38.0,Nautica,OS
87,Pinzon Handcrafted Purple Striped Women's Bag,10.0,Pinzon,OS
88,VTG Y2K Coach 44718 Brown Mini C Signature Soho Buckle Swingpack Crossbody Purse,80.0,Coach,OS
89,🍓LV Pouchette Accesoires SL0031,879.0,Louis Vuitton,OS
90,Stuart Weitzman Evening Bag in Metallic Gray,29.0,Stuart Weitzman,OS
91,Prada Brown Shoulder Bag,2500.0,Prada,OS
92,"Killstar ✦ Thrill Master Wallet ✦ Horror Graphic Zip Gothic Dario Argento NWT
          
      NWT",79.0,Killstar,OS
93,LIZ CLAIBORNE Black Shoulder/Hobo Handbag,40.0,Liz Claiborne,OS
94,Coach Monogram Wallet Check Holder,36.0,Coach,OS
95,Crazy Horse Brown Leather Crossbody Bag,20.0,Crazy Horse,OS
96,The Sak Natural Red Crochet Woven Bucket Bag Purse Fabric Hobo Shoulder Bag,32.0,The Sak,OS
97,Vera Bradley Baroque Shoulder Bag Purse Tote,26.0,Vera Bradley,OS
98,Komal's Passion Leather Bag,35.0,No Brand Listed,No Size Listed
99,Kate Spade Black Pearl-Studded Dorina Women's Wallet Gold,28.0,kate spade,OS
100,VERA BARDLEY Kiss Me Twice Sittin in a Tree Double Lipstick Mirror Case Retired,16.0,Vera Bradley,OS
101,Vera Bradley black quilted purse,38.0,Vera Bradley,OS
102,Prada Large Saffiano Leather Wallet Burgundy Like New Authentic,650.0,Prada,OS
103,"Unbranded Hanging Garment Bag Animal Print Leopard Elephant W23"" X L46"" Travel",25.0,No Brand Listed,No Size Listed
104,FOSSIL LARGE YELLOW SMOOTH LEATHER WOMENS WALLET,25.0,Fossil,OS
105,"🔥Lululemon All Night Festival Bag 5L - Black Gold Hardware Travel Crossbody
          
      NWT",58.0,lululemon athletica,OS
106,Gucci Elegant Black Handbag with Bamboo Handle,365.0,Gucci,OS
107,Satchel w/ Shoulder Strap by “Call it Spring” FUN!,35.0,Call It Spring,OS
108,.Red Quilted Backpack with Gold Accents,35.0,No Brand Listed,No Size Listed
109,VTG‎ Handmade Woven Purse Handbag Wood Handles Festival Boho Velvet Stripe y2k,32.0,Unbranded,OS
110,"Tahari Black Crossbody Duo Clutch Purse 9x7 w/ Makeup Bag NWT
          
      NWT",15.0,Tahari,OS
111,"Chiara Ferretti leather bag
          
      NWT",129.0,Chiara Ferretti,OS
112,Stylish Pink and Blue Geometric Bag,18.0,No Brand Listed,No Size Listed
113,"NWT Bed Stu Leather Eastend Fringe Crossbody Bag Tan Dip Dyed Retail $165
          
      NWT",154.0,Bed Stu,OS
114,NWOT Lilly Pulitzer GWP Quilted Pouch in Banana Split,35.0,Lilly Pulitzer,OS
115,Ramla Boho Mosaic Chain Bag I Beaded Stone Crossbody |Festival Statement Purse,125.0,Ramla,OS
116,MCM | Transparent/black | PVC And Leather | Glitch Logo  |Shopper Tote | NEW,525.0,MCM,OS
117,Calvin Klein Women's Woven Striped Multicolor Straw Tote Shoulder Bag Gold Chain,45.0,Calvin Klein,OS
118,"Handcrafted Brown Woven Handbag with Wooden Handle
          
      NWT",150.0,munay,OS
119,Vintage 100% Genuine Leather Woven Fanny Pack,59.0,Vintage,OS
120,"Vintage Needlepoint Handmade Clutch Purse Floral 70’s Laptop Bag Brown 9.5x14""",65.0,Unbranded,No Size Listed
121,"MICHAEL KORS 
Jet Set Travel Medium Dome Crossbody Bag XCROSS XBODY
Powder Blush
          
      Boutique",98.0,Michael Kors,Medium
122,Cartier Maroon Leather Must Line Waist Bag,115.0,Cartier,OS
123,"MICHAEL KORS JET SET TRAVEL LG TRIFOLD BLACK
          
      NWT",86.0,Michael Kors,Large
124,Juicy couture y2k green leather mini crossbody bag,120.0,Juicy Couture,OS
125,"Kelly and Katie Snakeskin Blue Multicolor Faux Leather Cross Body Bag Wallet NWT
          
      NWT",25.0,Kelly,OS
126,Small Hobo Bag Vegan Leather Crossbody Shoulder Clutch Tote Y2K Chic,25.0,No Brand Listed,No Size Listed
127,Marc Jacobs Snapshot Bag,160.0,Marc Jacobs,OS
128,Coach Stripped Red and White Wristlet NWOT,52.0,Coach,OS
129,"Kurt Geiger Small Chelsea Hobo Bag.
          
      NWT",290.0,Kurt Geiger,OS
